CKEY;CREF;CNUM;CEND;TEXTCODE;NAME
;;;;10.;10. РАДИОНУКЛИДНЫЕ ИССЛЕДОВАНИЯ
;;;;10.1.;10.1. Статическая сцинтиграфия
;;;;10.1.1.;10.1.1. Печени  с коллоидом
;;;;10.1.10.;10.1.10. Селезенки с коллоидом
;;;;10.1.11.;10.1.11. Сцинтиграфия лимфатических узлов с туморотропным РФП цитратом галия
;;;;10.1.12.;10.1.12. Сцинтиграфия костей скелета с технетрилом
;;;;10.1.2.;10.1.2. Почек
;;;;10.1.3.;10.1.3. Перфузионная сцинтиграфия головного мозга
;;;;10.1.4.;10.1.4. Перфузионная сцинтиграфия легких
;;;;10.1.5.;10.1.5. Щитовидной железы
;;;;10.1.6.;10.1.6. Паращитовидных желез
;;;;10.1.7.;10.1.7. Скелета
;;;;10.1.8.;10.1.8. Молочной железы
;;;;10.1.9.;10.1.9. Лимфатических узлов
;;;;10.2.;10.2. Динамическая сцинтиграфия
;;;;10.2.1.;10.2.1. Гепатобилиарной системы
;;;;10.2.2.;10.2.2. Почек
;;;;10.2.3.;10.2.3. Сосудов головного мозга
;;;;10.2.4.;10.2.4. Сосудов почек (ангионефросцинтиграфия)
;;;;10.2.5.;10.2.5. Определение кровотока в печени
;;;;10.2.6.;10.2.6. Пищевода и желудка (моторно-эвакуаторная функция)
;;;;10.2.7.;10.2.7. Костей скелета с определением функций почек
;;;;10.3.;10.3. Радиометрические исследования
;;;;10.3.1.;10.3.1. Радиометрия щитовидной железы
;;;;10.4.;10.4. Радиоиммунологический анализ (ин витро)
;;;;10.4.1.;10.4.1. Общий Т4
;;;;10.4.2.;10.4.2. Общий Т3
;;;;10.4.3.;10.4.3. Свободный Т4
;;;;10.4.4.;10.4.4. Свободный Т3
;;;;10.4.5.;10.4.5. Тиреотропный гормон
;;;;10.4.6.;10.4.6. Эстрадиол
;;;;10.5.;10.5. Однофатонная эмиссионная КТ
;;;;10.5.1.;10.5.1. Однофатонная эмиссионная КТ легких с уточняющей РКТ
;;;;10.5.2.;10.5.2. Однофатонная эмиссионная КТ молочных желез
;;;;10.5.3.;10.5.3. Однофатонная эмиссионная КТ костей скелета
;;;;10.5.4.;10.5.4. Однофатонная эмиссионная КТ костей скелета с уточняющей РКТ
;;;;10.5.5.;10.5.5. Однофатонная эмиссионная КТ печени и селезенки с уточняющей РКТ
;;;;10.5.6.;10.5.6. Однофатонная эмиссионная КТ почек с уточняющей РКТ
;;;;10.5.7.;10.5.7. Однофотонная эмиссионная КТ органов с меченными эритроцитами
;;;;11.;11. ДОЗИМЕТРИЯ
;;;;11.1.;11.1. КОНТРОЛЬНАЯ ВНЕПЛАНОВАЯ ПО ЗАЯВКАМ УЧ- РЕЖДЕНИЙ
;;;;11.2.;11.2. ПРОВЕРКА СРЕДСТВ ЗАЩИТЫ НА СВИНЦОВЫЙ ЭКВИВАЛЕНТ
;;;;11.3.;11.3. КОНТРОЛЬНО-РАДИЦИОННОГО ФОНА :
;;;;11.3.1.;11.3.1. В пределах города
;;;;11.3.2.;11.3.2. В сельской местности
;;;;11.4.;11.4. ВНЕПЛАНОВОЕ ПРОВЕДЕНИЕ ЭКСПЕРТНОЙ ОЦЕ- НКИ КАЧЕСТВА РЕНТГЕНОДИАГНОСТИКИ
;;;;11.4.1.;11.4.1. В пределах города
;;;;11.4.2.;11.4.2. В сельской местности
;;;;11.5.;11.5. CОГЛАСОВАНИЕ ПЛАНОВ РАЗМЕЩЕНИЯ
;;;;12.;12. ЭФФЕРЕНТНЫЕ МЕТОДЫ ЛЕЧЕНИЯ
;;;;12.1.;12.1. Гемодиализ
;;;;12.1.1.;12.1.1. Гемодиализ интермиттирующий продленный (стационарно, продолжительность от 6ч до 12ч)
;;;;12.1.1.;12.1.1. Гемодиализ интермиттирующий продленный (стационарно, продолжительность от 6ч до 12ч)
;;;;12.1.1.;12.1.1. Гемодиализ интермиттирующий продленный (стационарно, продолжительность от 6ч до 12ч)
;;;;12.1.2.;12.1.2. Гемодиализ интермиттирующий низкопоточный
;;;;12.1.2.;12.1.2. Гемодиализ интермиттирующий низкопоточный
;;;;12.1.2.;12.1.2. Гемодиализ интермиттирующий низкопоточный
;;;;12.1.3.;12.1.3. Гемодиализ продолжительный (стационарно, продолжительность не менее 24ч)
;;;;12.1.3.;12.1.3. Гемодиализ продолжительный (стационарно, продолжительность не менее 24ч)
